Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Marcus Smart,12,12,9/11/2018,24-248,BOS,Away,UTA,L (-8),0,33:13:00,4,9,0.444,4,9,0.444,1,2,0.5,1,2,3,10,2,0,1,2,13,16.4,10
Marcus Smart,13,13,11/11/2018,24-250,BOS,Away,POR,L (-6),0,21:46,0,3,0,0,1,0,0,0,,2,2,4,4,0,1,0,2,0,2.6,1
Marcus Smart,14,14,14/11/2018,24-253,BOS,Home,CHI,W (+29),0,18:04,3,6,0.5,2,4,0.5,0,0,,0,1,1,2,1,0,2,3,8,4.5,8
Marcus Smart,15,15,16/11/2018,24-255,BOS,Home,TOR,W (+7),0,18:38,2,5,0.4,0,2,0,1,1,1,0,5,5,1,0,0,4,3,5,-0.7,-17
Marcus Smart,16,16,17/11/2018,24-256,BOS,Home,UTA,L (-12),0,16:38,2,4,0.5,0,1,0,1,1,1,0,2,2,3,1,1,1,2,5,5.6,-13
Marcus Smart,17,17,19/11/2018,24-258,BOS,Away,CHO,L (-5),0,26:19:00,4,7,0.571,4,6,0.667,2,2,1,0,1,1,2,2,0,0,3,14,13.2,-12
Marcus Smart,18,18,21/11/2018,24-260,BOS,Home,NYK,L (-8),0,19:56,1,4,0.25,0,2,0,0,2,0,3,2,5,4,1,0,1,1,2,3.9,-13
Marcus Smart,19,19,23/11/2018,24-262,BOS,Away,ATL,W (+18),0,23:13,1,6,0.167,0,3,0,2,2,1,0,1,1,7,3,1,1,3,4,6.9,15
Marcus Smart,1,1,17/10/2017,23-225,BOS,Away,CLE,L (-3),0,35:03:00,5,16,0.313,0,4,0,2,3,0.667,0,9,9,3,2,2,2,2,12,7.8,-8
Marcus Smart,2,2,18/10/2017,23-226,BOS,Home,MIL,L (-8),1,32:20:00,4,13,0.308,3,7,0.429,1,6,0.167,3,4,7,4,3,0,3,4,12,7,-4
Marcus Smart,3,,20/10/2017,23-228,BOS,Away,PHI,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Marcus Smart,4,,24/10/2017,23-232,BOS,Home,NYK,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
